[train] t= 64000 | LossPi=-473.1475 | PiEntropy=-1.0907 | Alpha= 0.7144 | MinQ= 530.6235 | QcPi= 9.0168| BatchCostMean= 0.1261 | BatchCostMax= 0.8220 | BatchCostNZ= 0.3984| WinRewMean= 5852.9661 | WinCostMean= 0.0802 | Beta= 6.2879
[train] t= 65000 | LossPi=-492.2996 | PiEntropy=-1.0327 | Alpha= 0.7059 | MinQ= 549.3901 | QcPi= 8.8267| BatchCostMean= 0.1193 | BatchCostMax= 0.8482 | BatchCostNZ= 0.3828| WinRewMean= 6619.5844 | WinCostMean= 0.0654 | Beta= 6.3853
[train] t= 66000 | LossPi=-477.3829 | PiEntropy=-1.0617 | Alpha= 0.7276 | MinQ= 535.5687 | QcPi= 8.8567| BatchCostMean= 0.1410 | BatchCostMax= 0.8927 | BatchCostNZ= 0.4062| WinRewMean= 6742.7402 | WinCostMean= 0.0615 | Beta= 6.4825
[train] t= 67000 | LossPi=-455.9203 | PiEntropy=-1.1208 | Alpha= 0.7271 | MinQ= 516.8933 | QcPi= 9.1421| BatchCostMean= 0.1317 | BatchCostMax= 0.8888 | BatchCostNZ= 0.3594| WinRewMean= 2992.8107 | WinCostMean= 0.1180 | Beta= 6.5803
[train] t= 68000 | LossPi=-484.2453 | PiEntropy=-1.0426 | Alpha= 0.7745 | MinQ= 542.8253 | QcPi= 8.6505| BatchCostMean= 0.1359 | BatchCostMax= 0.7855 | BatchCostNZ= 0.4297| WinRewMean= 5383.8566 | WinCostMean= 0.0693 | Beta= 6.6785
[train] t= 69000 | LossPi=-483.2072 | PiEntropy=-0.8969 | Alpha= 0.6724 | MinQ= 542.4314 | QcPi= 8.6511| BatchCostMean= 0.1217 | BatchCostMax= 0.9134 | BatchCostNZ= 0.3633| WinRewMean= 6706.0746 | WinCostMean= 0.0667 | Beta= 6.7762
[train] t= 70000 | LossPi=-472.1888 | PiEntropy=-1.1373 | Alpha= 0.7301 | MinQ= 531.9956 | QcPi= 8.5797| BatchCostMean= 0.1172 | BatchCostMax= 0.7206 | BatchCostNZ= 0.3555| WinRewMean= 4472.2092 | WinCostMean= 0.0827 | Beta= 6.8740
[train] t= 71000 | LossPi=-471.5089 | PiEntropy=-0.9780 | Alpha= 0.6743 | MinQ= 531.5532 | QcPi= 8.5183| BatchCostMean= 0.1103 | BatchCostMax= 0.6813 | BatchCostNZ= 0.3398| WinRewMean= 7528.3033 | WinCostMean= 0.0670 | Beta= 6.9714
[train] t= 72000 | LossPi=-462.9582 | PiEntropy=-1.0810 | Alpha= 0.7192 | MinQ= 523.4382 | QcPi= 8.4450| BatchCostMean= 0.1143 | BatchCostMax= 0.8674 | BatchCostNZ= 0.3477| WinRewMean= 5376.3511 | WinCostMean= 0.0785 | Beta= 7.0696
[train] t= 73000 | LossPi=-502.6820 | PiEntropy=-0.8697 | Alpha= 0.7558 | MinQ= 561.8383 | QcPi= 8.1617| BatchCostMean= 0.1163 | BatchCostMax= 0.7791 | BatchCostNZ= 0.3672| WinRewMean= 7200.2403 | WinCostMean= 0.0599 | Beta= 7.1675
[train] t= 74000 | LossPi=-472.5989 | PiEntropy=-1.1069 | Alpha= 0.7332 | MinQ= 534.4795 | QcPi= 8.4059| BatchCostMean= 0.1198 | BatchCostMax= 0.8771 | BatchCostNZ= 0.3828| WinRewMean= 6186.3891 | WinCostMean= 0.0724 | Beta= 7.2650
[train] t= 75000 | LossPi=-474.0272 | PiEntropy=-0.9339 | Alpha= 0.7006 | MinQ= 535.2439 | QcPi= 8.2254| BatchCostMean= 0.1161 | BatchCostMax= 0.7833 | BatchCostNZ= 0.3516| WinRewMean= 4320.0785 | WinCostMean= 0.0784 | Beta= 7.3629
[train] t= 76000 | LossPi=-472.6382 | PiEntropy=-1.0136 | Alpha= 0.6395 | MinQ= 534.1619 | QcPi= 8.1594| BatchCostMean= 0.1245 | BatchCostMax= 0.7515 | BatchCostNZ= 0.4102| WinRewMean= 6493.7148 | WinCostMean= 0.0605 | Beta= 7.4608
[train] t= 77000 | LossPi=-484.2051 | PiEntropy=-0.8715 | Alpha= 0.7674 | MinQ= 544.4815 | QcPi= 7.8863| BatchCostMean= 0.1076 | BatchCostMax= 0.8944 | BatchCostNZ= 0.3438| WinRewMean= 6966.8130 | WinCostMean= 0.0565 | Beta= 7.5583
[train] t= 78000 | LossPi=-487.7847 | PiEntropy=-1.0728 | Alpha= 0.6804 | MinQ= 549.4940 | QcPi= 7.9649| BatchCostMean= 0.1209 | BatchCostMax= 0.8815 | BatchCostNZ= 0.3711| WinRewMean= 6209.8989 | WinCostMean= 0.0572 | Beta= 7.6560
[train] t= 79000 | LossPi=-481.6311 | PiEntropy=-0.9464 | Alpha= 0.7210 | MinQ= 544.7361 | QcPi= 8.0511| BatchCostMean= 0.1017 | BatchCostMax= 0.7216 | BatchCostNZ= 0.3203| WinRewMean= 5740.0748 | WinCostMean= 0.0621 | Beta= 7.7533
[train] t= 80000 | LossPi=-464.2482 | PiEntropy=-1.0529 | Alpha= 0.7273 | MinQ= 526.3984 | QcPi= 7.8187| BatchCostMean= 0.1224 | BatchCostMax= 0.6834 | BatchCostNZ= 0.4023| WinRewMean= 6237.1415 | WinCostMean= 0.0570 | Beta= 7.8509
[train] t= 81000 | LossPi=-480.7259 | PiEntropy=-1.2223 | Alpha= 0.7207 | MinQ= 542.2239 | QcPi= 7.6261| BatchCostMean= 0.1273 | BatchCostMax= 0.8822 | BatchCostNZ= 0.4102| WinRewMean= 6969.1503 | WinCostMean= 0.0609 | Beta= 7.9486
[train] t= 82000 | LossPi=-486.7889 | PiEntropy=-1.0778 | Alpha= 0.7373 | MinQ= 548.3240 | QcPi= 7.5492| BatchCostMean= 0.1197 | BatchCostMax= 0.8041 | BatchCostNZ= 0.3828| WinRewMean= 6810.2852 | WinCostMean= 0.0599 | Beta= 8.0459
[train] t= 83000 | LossPi=-469.4695 | PiEntropy=-0.9061 | Alpha= 0.7302 | MinQ= 533.0858 | QcPi= 7.7304| BatchCostMean= 0.1041 | BatchCostMax= 0.9117 | BatchCostNZ= 0.3398| WinRewMean= 7121.2877 | WinCostMean= 0.0614 | Beta= 8.1438
[train] t= 84000 | LossPi=-444.3638 | PiEntropy=-1.1257 | Alpha= 0.7465 | MinQ= 509.6744 | QcPi= 7.8225| BatchCostMean= 0.1229 | BatchCostMax= 0.7591 | BatchCostNZ= 0.3633| WinRewMean= 6310.1677 | WinCostMean= 0.0618 | Beta= 8.2416
[train] t= 85000 | LossPi=-466.2393 | PiEntropy=-0.9055 | Alpha= 0.7395 | MinQ= 531.0234 | QcPi= 7.6881| BatchCostMean= 0.1273 | BatchCostMax= 0.7313 | BatchCostNZ= 0.3906| WinRewMean= 6818.9808 | WinCostMean= 0.0590 | Beta= 8.3395
[train] t= 86000 | LossPi=-494.2071 | PiEntropy=-0.9482 | Alpha= 0.7812 | MinQ= 556.5096 | QcPi= 7.2961| BatchCostMean= 0.1087 | BatchCostMax= 0.6607 | BatchCostNZ= 0.3594| WinRewMean= 8042.3492 | WinCostMean= 0.0589 | Beta= 8.4376
[train] t= 87000 | LossPi=-463.3878 | PiEntropy=-0.9954 | Alpha= 0.7440 | MinQ= 528.4364 | QcPi= 7.5346| BatchCostMean= 0.1160 | BatchCostMax= 0.9495 | BatchCostNZ= 0.3477| WinRewMean= 5524.0048 | WinCostMean= 0.0617 | Beta= 8.5351
