Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	1695.9786	587.6954	2549.6316	92.49855	1733912.4	505809.3	2593869.2	760429.3	12.407069	2.5405872	20.690868	6.0380588	10.866104	2.1818235	14.770581	7.2129507	288.0	288.0	0.0	0.0	33494.242	0.05074885179924243	630001.0	489.5982	179.54938	879.1297	-0.8760549	489.5969	179.55466	872.03894	-1.7032892	5.023614	0.40366867	7.65753	3.6473765	1.0005289	1.0672802	7.052965	-11.583427	-428.72174	85.61571	85.58855	0.0066498253	-0.00027216217	-0.20729351	0.8131646	-0.16013896	2.4768467	11.905696	-1.0005282	0.5136361	203.37723	4342.311426639557
22	1744.3501	622.0517	2578.564	51.377193	1763785.0	724539.94	2634453.0	24387.719	12.587174	2.3833637	19.082355	5.7983036	10.893746	3.8435779	14.368164	0.18783988	288.0	288.0	0.0	0.0	34802.555	0.05043848505434782	660001.0	489.0512	179.86292	875.2246	1.2783754	489.05014	179.86734	874.7224	1.0826733	5.01392	0.3631353	7.43597	3.6209648	0.99977165	1.0630316	8.512604	-11.399906	-426.69272	85.83279	85.80186	0.005978227	0.00031224333	-0.20537782	0.81483	-0.04995674	2.5030997	12.222408	-0.9997713	0.5518415	202.29445	4544.5968108177185
23	1599.6805	605.93896	2638.246	85.16785	1738538.0	637664.44	2719538.8	583369.6	12.2209425	2.6365616	18.863245	2.9537332	9.489003	2.2305162	13.471813	6.3799043	288.0	288.0	0.0	0.0	36077.44	0.05010755750868055	690001.0	488.96143	180.50041	878.8473	4.556195	488.96005	180.50423	876.0006	1.0729644	4.9919353	0.35882172	7.30587	3.6817436	0.99995047	1.0613943	9.7811985	-11.977553	-427.68924	86.22349	86.1832	0.006076783	0.00014117295	-0.20768213	0.81297714	0.21076337	2.489442	12.06046	-0.99995035	0.5019226	202.74608	4747.347446203232
24	1707.5658	616.3896	2594.2798	80.88331	2198869.2	782378.1	2760171.2	5910.0	12.505179	2.691665	22.19957	6.5128846	9.019447	3.1415033	11.538105	0.0	288.0	288.0	0.0	0.0	37379.605	0.04983947395833333	720001.0	489.70264	180.78477	880.0418	6.369293	489.7022	180.78671	878.99774	6.0340786	5.021892	0.35664085	7.2577906	3.6585338	1.0003033	1.0704231	10.14954	-12.521833	-429.9746	86.996155	86.97461	0.006149413	-0.00012105749	-0.21131146	0.81000364	-0.15692326	2.4571748	11.679193	-1.0003029	0.51485634	203.14104	4950.4752514362335
25	1740.108	628.50275	2615.91	48.36893	1578708.8	740849.44	2658212.8	188365.77	12.258606	2.7378666	21.92426	5.570802	7.4138956	2.546622	11.061888	1.8205397	288.0	288.0	0.0	0.0	38656.387	0.04955947015224359	750001.0	489.65198	180.7919	872.231	5.4451323	489.65234	180.79124	870.3684	3.5446012	5.006374	0.35356718	7.1761518	3.6281478	1.0003672	1.0617714	8.595573	-11.919439	-427.75293	86.28252	86.281265	0.0060095256	-0.00017973401	-0.2081902	0.8125171	0.028832698	2.4970963	12.1481	-1.0003672	0.56796193	204.07324	5154.561695814133
26	1780.5853	565.80927	2583.07	112.81774	1657362.1	853575.1	2587920.8	0.0	13.096493	2.51464	19.79457	8.115182	6.502266	3.093821	11.113864	0.0	288.0	288.0	0.0	0.0	40021.504	0.049409264081790125	780001.0	490.29166	179.78801	868.34125	7.4943485	490.29263	179.78738	865.83264	7.2469063	5.028979	0.3589533	7.3016987	3.6176832	1.0001731	1.0497297	9.912288	-12.441537	-428.46768	85.749435	85.73326	0.006026724	-1.3480631e-05	-0.20295787	0.816942	-0.27194458	2.489887	12.073327	-1.0001724	0.52976465	205.43576	5359.986873149872
27	1731.3699	603.1699	2606.3948	59.941803	2021241.2	610611.9	2761486.5	973320.9	12.001934	2.281944	17.195896	2.9751387	8.97038	1.6432945	11.084778	5.5806737	288.0	288.0	0.0	0.0	41273.754	0.04913542131696429	810001.0	489.64246	180.89561	866.55	-0.47392774	489.64172	180.89766	867.3119	-0.65043116	4.9482923	0.33533207	7.270797	3.4502442	0.99981344	1.0644262	7.552511	-12.812708	-430.26376	86.46848	86.448685	0.0057199495	0.00030537572	-0.22314192	0.80093354	0.7135404	2.4645627	11.78388	-0.9998132	0.5509608	204.40538	5564.391182184219
28	1670.243	634.74603	2612.9397	78.955986	1786979.8	671364.2	2320726.2	73701.33	11.939962	2.1925147	17.305098	4.578914	10.60998	3.0486283	13.184916	2.0282612	288.0	288.0	0.0	0.0	42510.312	0.04886242816091954	840001.0	491.97876	180.64835	866.7415	0.28435767	491.97745	180.65233	865.07324	-0.015542269	5.0263786	0.35809767	7.2957997	3.560181	1.0000445	1.051708	5.954611	-12.928482	-430.75934	86.90563	86.85833	0.005985012	9.052313e-05	-0.2220271	0.80164194	-0.21222946	2.481452	11.965932	-1.0000445	0.5136237	202.92496	5767.341915607452
29	1672.9967	692.6246	2620.034	78.93079	1644148.5	854195.2	2324948.5	0.0	12.768238	3.0349584	21.882359	4.287479	6.616867	3.70983	12.4384	0.0	288.0	288.0	0.0	0.0	43845.18	0.04871686631944445	870001.0	492.0602	181.42586	868.3084	5.6522574	492.06064	181.42638	868.12384	5.6873093	5.0103054	0.38197854	7.512247	3.6010473	1.0001976	1.0611985	4.9024463	-13.984565	-432.51688	87.665016	87.596794	0.0062781544	-3.7155285e-05	-0.2380434	0.78880847	-0.03836886	2.4569407	11.671303	-1.0001976	0.54246354	203.5993	5970.9159598350525
30	1655.4355	668.30597	2615.084	62.442333	1923060.2	536974.75	2344929.8	610211.2	12.456432	2.5891895	17.91422	4.9032407	9.515861	2.3388853	14.327624	6.8715863	288.0	288.0	0.0	0.0	45142.312	0.048540120967741934	900001.0	493.46466	182.31604	862.6382	2.076702	493.46542	182.31474	864.5076	1.3177767	4.995551	0.3943496	7.4464545	3.7323284	1.0000336	1.0545273	5.2416286	-12.966181	-434.6341	87.43923	87.388885	0.006290771	7.9176854e-05	-0.22734137	0.7971165	0.136507	2.4473286	11.562625	-1.0000337	0.59823203	202.42029	6173.350055932999
31	1691.4282	592.81683	2551.9236	102.081566	1801487.2	669243.9	2527526.5	637544.5	12.233922	2.2693992	18.480787	5.507519	10.007109	2.4593596	14.237341	6.628527	288.0	288.0	0.0	0.0	46416.2	0.04835020751953125	930001.0	493.74365	182.47472	872.19653	5.084751	493.74316	182.47525	871.869	5.867503	5.0014777	0.36895442	7.345744	3.7854369	0.9998242	1.0581397	7.5503716	-13.363139	-435.89078	87.225815	87.15347	0.0062061106	0.0002483113	-0.23995489	0.78726155	0.06667987	2.4291642	11.351863	-0.99982435	0.51351476	204.05447	6377.39998626709
32	1606.8967	604.00085	2643.8406	132.5516	1822307.2	944742.06	2745296.2	180.0	13.356757	3.146259	23.526108	6.694153	7.772832	3.9577792	13.068707	0.0	288.0	288.0	0.0	0.0	47809.66	0.04829258601641414	960001.0	493.62958	181.42703	865.53735	9.060155	493.63034	181.42606	868.9819	9.254466	5.041349	0.42191875	7.766707	3.8829536	1.0004997	1.0610104	7.4284296	-10.863675	-436.39548	86.056915	86.0188	0.006675248	-0.0002786452	-0.25631458	0.77450013	-0.40748683	2.4094417	11.139047	-1.0005002	0.5727811	203.52203	6580.9186000823975
