[train] t= 28000 | LossPi=-460.9883 | PiEntropy=-1.0234 | Alpha= 0.9008 | MinQ= 492.4666 | QcPiCVaR= 13.4697 | QcPi= 13.1076 | QcPiVar= 3.5139| BatchCostMean= 0.1762 | BatchCostMax= 0.6774 | BatchCostNZ= 0.4492| WinRewMean= 7427.9395 | WinCostMean= 0.1788 | Beta= 2.2685
[train] t= 29000 | LossPi=-468.9782 | PiEntropy=-1.1259 | Alpha= 0.8823 | MinQ= 502.7723 | QcPiCVaR= 13.8892 | QcPi= 13.5247 | QcPiVar= 3.5746| BatchCostMean= 0.1654 | BatchCostMax= 0.6449 | BatchCostNZ= 0.4531| WinRewMean= 8262.2811 | WinCostMean= 0.1494 | Beta= 2.3616
[train] t= 30000 | LossPi=-469.7401 | PiEntropy=-0.9156 | Alpha= 0.8580 | MinQ= 504.9428 | QcPiCVaR= 14.0179 | QcPi= 13.6508 | QcPiVar= 3.6178| BatchCostMean= 0.1967 | BatchCostMax= 0.9347 | BatchCostNZ= 0.5156| WinRewMean= 8389.3421 | WinCostMean= 0.1530 | Beta= 2.4552
[train] t= 31000 | LossPi=-477.5432 | PiEntropy=-1.0763 | Alpha= 0.8936 | MinQ= 514.7040 | QcPiCVaR= 14.1988 | QcPi= 13.8326 | QcPiVar= 3.5889| BatchCostMean= 0.1809 | BatchCostMax= 0.9226 | BatchCostNZ= 0.5000| WinRewMean= 8008.2658 | WinCostMean= 0.1665 | Beta= 2.5494
[train] t= 32000 | LossPi=-481.4930 | PiEntropy=-0.9615 | Alpha= 0.9056 | MinQ= 519.7641 | QcPiCVaR= 14.1442 | QcPi= 13.7753 | QcPiVar= 3.7187| BatchCostMean= 0.1648 | BatchCostMax= 0.9280 | BatchCostNZ= 0.4297| WinRewMean= 7776.2176 | WinCostMean= 0.1543 | Beta= 2.6442
[train] t= 33000 | LossPi=-483.9266 | PiEntropy=-0.9369 | Alpha= 0.9167 | MinQ= 523.9532 | QcPiCVaR= 14.2981 | QcPi= 13.9229 | QcPiVar= 3.8640| BatchCostMean= 0.1731 | BatchCostMax= 0.7562 | BatchCostNZ= 0.4531| WinRewMean= 8076.6080 | WinCostMean= 0.1618 | Beta= 2.7394
[train] t= 34000 | LossPi=-494.0518 | PiEntropy=-1.3796 | Alpha= 0.8840 | MinQ= 535.8848 | QcPiCVaR= 14.3255 | QcPi= 13.9472 | QcPiVar= 3.9570| BatchCostMean= 0.1761 | BatchCostMax= 0.9642 | BatchCostNZ= 0.4492| WinRewMean= 7066.6014 | WinCostMean= 0.1829 | Beta= 2.8350
[train] t= 35000 | LossPi=-489.4626 | PiEntropy=-0.8484 | Alpha= 0.8357 | MinQ= 533.4477 | QcPiCVaR= 14.7643 | QcPi= 14.3923 | QcPiVar= 3.7348| BatchCostMean= 0.2076 | BatchCostMax= 0.9347 | BatchCostNZ= 0.5078| WinRewMean= 8033.7577 | WinCostMean= 0.1531 | Beta= 2.9311
[train] t= 36000 | LossPi=-500.3428 | PiEntropy=-1.0778 | Alpha= 0.8711 | MinQ= 546.0712 | QcPiCVaR= 14.7937 | QcPi= 14.4074 | QcPiVar= 4.0765| BatchCostMean= 0.1773 | BatchCostMax= 0.8444 | BatchCostNZ= 0.4609| WinRewMean= 7986.6631 | WinCostMean= 0.1531 | Beta= 3.0276
[train] t= 37000 | LossPi=-504.2157 | PiEntropy=-0.8696 | Alpha= 0.8641 | MinQ= 550.9323 | QcPiCVaR= 14.7132 | QcPi= 14.3254 | QcPiVar= 4.1525| BatchCostMean= 0.1771 | BatchCostMax= 0.9426 | BatchCostNZ= 0.4297| WinRewMean= 8976.7110 | WinCostMean= 0.1278 | Beta= 3.1241
[train] t= 38000 | LossPi=-515.9132 | PiEntropy=-0.7075 | Alpha= 0.8553 | MinQ= 563.4303 | QcPiCVaR= 14.5651 | QcPi= 14.1546 | QcPiVar= 4.8535| BatchCostMean= 0.1802 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4688| WinRewMean= 9244.7725 | WinCostMean= 0.1149 | Beta= 3.2209
[train] t= 39000 | LossPi=-515.2642 | PiEntropy=-1.2079 | Alpha= 0.8639 | MinQ= 565.8168 | QcPiCVaR= 14.9215 | QcPi= 14.5315 | QcPiVar= 4.2729| BatchCostMean= 0.1763 | BatchCostMax= 0.8683 | BatchCostNZ= 0.4766| WinRewMean= 7568.8891 | WinCostMean= 0.1757 | Beta= 3.3180
[train] t= 40000 | LossPi=-525.9368 | PiEntropy=-1.1285 | Alpha= 0.8317 | MinQ= 576.5824 | QcPiCVaR= 14.5539 | QcPi= 14.1396 | QcPiVar= 4.9724| BatchCostMean= 0.1721 | BatchCostMax= 0.7693 | BatchCostNZ= 0.4688| WinRewMean= 7715.2589 | WinCostMean= 0.1604 | Beta= 3.4154
[train] t= 41000 | LossPi=-523.3995 | PiEntropy=-1.1125 | Alpha= 0.8659 | MinQ= 576.4200 | QcPiCVaR= 14.8174 | QcPi= 14.3993 | QcPiVar= 5.0126| BatchCostMean= 0.1706 | BatchCostMax= 0.7611 | BatchCostNZ= 0.4570| WinRewMean= 7877.5178 | WinCostMean= 0.1581 | Beta= 3.5132
[train] t= 42000 | LossPi=-525.6492 | PiEntropy=-1.1027 | Alpha= 0.8258 | MinQ= 579.9709 | QcPiCVaR= 14.7905 | QcPi= 14.3717 | QcPiVar= 5.0747| BatchCostMean= 0.1736 | BatchCostMax= 0.7291 | BatchCostNZ= 0.4688| WinRewMean= 7621.7448 | WinCostMean= 0.1649 | Beta= 3.6112
[train] t= 43000 | LossPi=-534.4574 | PiEntropy=-0.9898 | Alpha= 0.8581 | MinQ= 591.0055 | QcPiCVaR= 15.0157 | QcPi= 14.5948 | QcPiVar= 5.2451| BatchCostMean= 0.1777 | BatchCostMax= 0.7063 | BatchCostNZ= 0.4805| WinRewMean= 7693.3807 | WinCostMean= 0.1593 | Beta= 3.7094
[train] t= 44000 | LossPi=-531.0815 | PiEntropy=-1.0716 | Alpha= 0.8586 | MinQ= 589.5943 | QcPiCVaR= 15.1247 | QcPi= 14.7312 | QcPiVar= 4.4012| BatchCostMean= 0.1626 | BatchCostMax= 0.8350 | BatchCostNZ= 0.4727| WinRewMean= 7050.7234 | WinCostMean= 0.1800 | Beta= 3.8079
[train] t= 45000 | LossPi=-536.2765 | PiEntropy=-1.0850 | Alpha= 0.8211 | MinQ= 595.2170 | QcPiCVaR= 14.8602 | QcPi= 14.4548 | QcPiVar= 4.7291| BatchCostMean= 0.1463 | BatchCostMax= 0.7384 | BatchCostNZ= 0.4062| WinRewMean= 8945.7983 | WinCostMean= 0.1329 | Beta= 3.9064
[train] t= 46000 | LossPi=-531.0310 | PiEntropy=-0.8580 | Alpha= 0.8665 | MinQ= 592.7329 | QcPiCVaR= 15.2206 | QcPi= 14.8205 | QcPiVar= 4.7528| BatchCostMean= 0.1653 | BatchCostMax= 0.8868 | BatchCostNZ= 0.4336| WinRewMean= 8686.5431 | WinCostMean= 0.1389 | Beta= 4.0050
[train] t= 47000 | LossPi=-542.9775 | PiEntropy=-1.1260 | Alpha= 0.8324 | MinQ= 605.1981 | QcPiCVaR= 14.9349 | QcPi= 14.5333 | QcPiVar= 4.6781| BatchCostMean= 0.1684 | BatchCostMax= 0.8814 | BatchCostNZ= 0.4609| WinRewMean= 8295.9579 | WinCostMean= 0.1488 | Beta= 4.1034
[train] t= 48000 | LossPi=-540.4749 | PiEntropy=-0.9538 | Alpha= 0.8398 | MinQ= 604.5110 | QcPiCVaR= 15.0485 | QcPi= 14.6342 | QcPiVar= 5.0680| BatchCostMean= 0.1666 | BatchCostMax= 0.7269 | BatchCostNZ= 0.4492| WinRewMean= 8156.1827 | WinCostMean= 0.1477 | Beta= 4.2021
[train] t= 49000 | LossPi=-554.8359 | PiEntropy=-0.9431 | Alpha= 0.8402 | MinQ= 618.9014 | QcPiCVaR= 14.7114 | QcPi= 14.2773 | QcPiVar= 5.9115| BatchCostMean= 0.1719 | BatchCostMax= 0.9335 | BatchCostNZ= 0.4531| WinRewMean= 7544.6492 | WinCostMean= 0.1551 | Beta= 4.3010
[train] t= 50000 | LossPi=-545.9108 | PiEntropy=-1.1141 | Alpha= 0.8462 | MinQ= 612.7520 | QcPiCVaR= 14.9779 | QcPi= 14.5646 | QcPiVar= 5.1445| BatchCostMean= 0.1459 | BatchCostMax= 0.6679 | BatchCostNZ= 0.4570| WinRewMean= 8110.8669 | WinCostMean= 0.1502 | Beta= 4.3997
[train] t= 51000 | LossPi=-541.9605 | PiEntropy=-0.9302 | Alpha= 0.8485 | MinQ= 610.4222 | QcPiCVaR= 15.0428 | QcPi= 14.6355 | QcPiVar= 5.0758| BatchCostMean= 0.1792 | BatchCostMax= 0.7350 | BatchCostNZ= 0.4883| WinRewMean= 7232.6583 | WinCostMean= 0.1633 | Beta= 4.4987
[train] t= 52000 | LossPi=-550.7986 | PiEntropy=-1.0121 | Alpha= 0.8481 | MinQ= 620.1346 | QcPiCVaR= 14.8942 | QcPi= 14.4730 | QcPiVar= 5.4912| BatchCostMean= 0.1421 | BatchCostMax= 0.7175 | BatchCostNZ= 0.3867| WinRewMean= 7699.2134 | WinCostMean= 0.1501 | Beta= 4.5976
[train] t= 53000 | LossPi=-554.3633 | PiEntropy=-1.0580 | Alpha= 0.8244 | MinQ= 624.6664 | QcPiCVaR= 14.7839 | QcPi= 14.3618 | QcPiVar= 5.6328| BatchCostMean= 0.1603 | BatchCostMax= 0.7491 | BatchCostNZ= 0.4844| WinRewMean= 7875.8914 | WinCostMean= 0.1460 | Beta= 4.6964
