Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
22	2130.2866	356.09058	2960.7134	1692.0865	2195215.2	278230.88	2908488.2	1878744.8	16.708065	2.2333095	21.64972	11.225784	18.281033	2.254379	23.032394	15.617646	288.0	288.0	0.0	0.0	48565.73	0.07038511662137681	660001.0	583.8003	58.931725	876.34674	483.59814	583.8012	58.92795	880.35315	478.21646	6.01982	0.30179986	7.4241796	4.2260647	1.0000305	1.0341694	5.953469	-11.738691	-470.73627	79.96563	79.93747	0.005238802	7.596236e-05	0.10344199	1.1092566	-0.06275616	2.9204526	18.55089	-1.0000309	0.30161214	249.99786	5627.2322335243225
23	2132.7693	389.40494	3000.9893	1718.1276	2360698.8	469422.16	3128900.0	1834546.5	16.320808	2.1490479	21.059267	10.688621	15.171135	1.9309988	18.129986	12.360688	288.0	288.0	0.0	0.0	50268.19	0.06981693250868055	690001.0	584.0855	59.0392	873.3575	483.55432	584.0861	59.032833	875.4509	481.88983	6.0108814	0.3033499	7.497366	4.244455	0.9998972	1.0364054	6.556919	-12.065664	-470.5372	80.05548	80.09301	0.0052759815	0.00022331304	0.104390725	1.110374	0.09833328	2.9259806	18.656488	-0.9998969	0.3260126	260.74646	5887.996591091156
24	2049.5166	318.8232	2927.2253	1696.6101	2221332.8	335730.66	3058652.5	1826146.9	16.865355	2.1434875	23.521938	11.132501	16.448177	2.1840777	19.29559	12.123174	288.0	288.0	0.0	0.0	52024.633	0.06936617708333333	720001.0	583.75336	58.973682	874.6037	482.98642	583.753	58.968155	875.3586	482.50146	6.0160494	0.3037874	7.382619	4.20619	1.0000569	1.0388017	4.434611	-12.68321	-470.9006	80.17181	80.2201	0.005304388	7.029007e-05	0.10188187	1.1075782	-0.016434386	2.918835	18.52143	-1.0000564	8.887545	269.24747	6157.218448877335
25	2149.7393	398.80566	2919.113	1744.0763	2338059.5	357192.3	3025007.8	1988473.1	16.237339	2.286782	23.151684	11.202353	14.261807	1.6955703	16.301392	11.17121	288.0	288.0	0.0	0.0	53716.906	0.06886782852564102	750001.0	582.8774	58.66826	869.5237	482.3993	582.87805	58.662716	872.1108	479.7701	6.0140996	0.2999215	7.3709555	4.2086635	1.0002316	1.0338258	4.934192	-12.062444	-469.10138	79.84995	79.920525	0.0052721538	-0.00013265044	0.103575855	1.1094768	0.014870231	2.9275413	18.682026	-1.0002313	0.29365087	251.6201	6408.844610214233
26	2087.3896	358.86917	2970.1768	1698.9078	2354267.5	454425.16	3092601.2	1914390.4	16.884325	2.0138147	21.69713	11.702812	17.5981	2.651794	21.9075	12.904312	288.0	288.0	0.0	0.0	55472.816	0.06848495852623457	780001.0	583.0256	58.239132	869.4943	482.48663	583.0257	58.23203	872.87775	479.3836	6.0161276	0.30080575	7.3340683	4.2537947	1.0000907	1.0383494	7.7791	-13.35033	-469.27756	79.49947	79.52247	0.0053253192	2.2670913e-05	0.10530707	1.1113658	-0.039373178	2.926639	18.666042	-1.0000912	0.2994871	259.50604	6668.355808496475
27	2109.396	373.36536	2973.6765	1675.5786	2128240.8	351271.1	3129930.2	1855384.6	16.246307	2.068167	21.146095	10.453665	15.385569	2.0240448	19.811682	12.257048	288.0	288.0	0.0	0.0	57168.49	0.06805772414434524	810001.0	582.60706	58.43662	869.5226	480.1745	582.60754	58.428482	872.4754	479.4044	6.0158243	0.304842	7.339553	4.1600456	1.0001428	1.0440673	5.986994	-13.315172	-469.73096	79.8958	79.93649	0.005384374	-3.8509115e-05	0.097065985	1.1022763	-0.043502506	2.9188666	18.521002	-1.0001429	9.113187	268.87674	6937.230422735214
28	2114.258	373.10522	2960.4695	1721.9305	2135600.8	391933.2	3050221.2	1882832.6	16.236128	2.1492364	21.049976	10.579762	15.2369175	1.045525	16.659796	13.380006	288.0	288.0	0.0	0.0	58858.297	0.06765321479885057	840001.0	582.7036	58.24818	866.9512	481.66946	582.70435	58.240746	872.17035	481.27435	6.0120063	0.3044057	7.4096785	4.1475387	0.99987155	1.0392857	5.4179544	-11.852917	-467.6984	78.93302	78.98107	0.005319639	0.00025893401	0.09942377	1.104811	0.02009344	2.938454	18.887983	-0.9998713	0.28892326	253.20477	7190.422210931778
29	2086.2397	332.47675	2890.6855	1705.6145	2298608.8	396528.4	2915997.0	1925415.1	16.819065	2.1315968	22.70698	12.482534	16.260174	1.5264126	18.78131	12.939691	288.0	288.0	0.0	0.0	60613.406	0.06734822916666666	870001.0	582.22266	58.56916	869.48016	482.1979	582.2232	58.563107	871.34576	479.9592	6.0149093	0.30772015	7.3795266	4.198857	0.9999807	1.0342989	5.576069	-13.921124	-466.61777	79.122795	79.18965	0.0053227604	0.00013620211	0.10073725	1.1063644	-0.04187119	2.9430523	18.97455	-0.9999807	0.31372547	261.72906	7452.160342931747
30	2130.261	387.94376	2932.1633	1749.651	2385699.5	422263.22	3114224.5	1928638.0	16.634897	2.221683	22.653275	12.090338	16.944626	2.6201427	19.691494	13.087504	288.0	288.0	0.0	0.0	62343.305	0.06703581149193548	900001.0	582.25354	58.635986	874.07733	481.9315	582.25354	58.62935	878.2717	480.11682	6.007007	0.3045929	7.9352465	4.22953	1.0002437	1.0401905	8.156097	-12.922088	-468.61563	79.3287	79.39511	0.0053386707	-0.00014661507	0.09110705	1.0956749	0.09739508	2.926926	18.671291	-1.0002435	3.5894692	265.06717	7717.220958471298
31	2132.1006	378.0755	2940.3855	1664.7672	2237299.8	324699.28	2907546.2	1910843.4	16.444857	2.3440437	21.70425	10.257888	17.006994	1.0738852	18.471987	14.920895	288.0	288.0	0.0	0.0	64058.87	0.06672799072265626	930001.0	582.0545	58.951942	873.4274	478.57907	582.0548	58.944675	873.10657	479.34808	6.014229	0.30333883	7.4778714	4.23145	0.9998906	1.0382247	9.267294	-13.813575	-469.15433	80.17303	80.235725	0.005358417	0.00022746048	0.094860256	1.099777	-0.045606785	2.9190178	18.523375	-0.99989086	0.32020855	255.80992	7973.03236246109
