[train] t= 25000 | LossPi=-436.4296 | PiEntropy=-1.3856 | Alpha= 0.9293 | PiEntTerm= 1.2876 | MinQ= 466.5423 | PiCostTerm= 28.8251 | QcPiCVaR= 10.5036 | QcPi= 7.9304 | QcPiRaw= 7.9299 | QcPiVar= 10.4107 | QcPiM2= 74.2410| BatchCostMean= 0.1318 | BatchCostMax= 0.6833 | BatchCostNZ= 0.4844 | Beta= 2.7443
[train] t= 26000 | LossPi=-442.5206 | PiEntropy=-1.0437 | Alpha= 0.8375 | PiEntTerm= 0.8741 | MinQ= 473.4677 | PiCostTerm= 30.0729 | QcPiCVaR= 10.5894 | QcPi= 8.0206 | QcPiRaw= 8.0202 | QcPiVar= 10.3736 | QcPiM2= 75.6732| BatchCostMean= 0.1499 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4844 | Beta= 2.8399
[train] t= 27000 | LossPi=-444.5158 | PiEntropy=-1.3459 | Alpha= 0.9051 | PiEntTerm= 1.2182 | MinQ= 478.0372 | PiCostTerm= 32.3032 | QcPiCVaR= 11.0027 | QcPi= 8.3940 | QcPiRaw= 8.3937 | QcPiVar= 10.6988 | QcPiM2= 82.1702| BatchCostMean= 0.1339 | BatchCostMax= 0.9539 | BatchCostNZ= 0.4219 | Beta= 2.9359
[train] t= 28000 | LossPi=-453.7593 | PiEntropy=-1.2805 | Alpha= 0.9171 | PiEntTerm= 1.1744 | MinQ= 487.8022 | PiCostTerm= 32.8685 | QcPiCVaR= 10.8386 | QcPi= 8.2021 | QcPiRaw= 8.2017 | QcPiVar= 10.9267 | QcPiM2= 79.1870| BatchCostMean= 0.1452 | BatchCostMax= 0.7815 | BatchCostNZ= 0.4883 | Beta= 3.0325
[train] t= 29000 | LossPi=-451.4845 | PiEntropy=-0.9499 | Alpha= 0.8943 | PiEntTerm= 0.8495 | MinQ= 486.8503 | PiCostTerm= 34.5164 | QcPiCVaR= 11.0296 | QcPi= 8.3603 | QcPiRaw= 8.3599 | QcPiVar= 11.2017 | QcPiM2= 82.0764| BatchCostMean= 0.1109 | BatchCostMax= 0.7404 | BatchCostNZ= 0.4180 | Beta= 3.1294
[train] t= 30000 | LossPi=-461.1958 | PiEntropy=-1.0058 | Alpha= 0.8032 | PiEntTerm= 0.8079 | MinQ= 497.7698 | PiCostTerm= 35.7661 | QcPiCVaR= 11.0847 | QcPi= 8.4137 | QcPiRaw= 8.4134 | QcPiVar= 11.2159 | QcPiM2= 82.9960| BatchCostMean= 0.1368 | BatchCostMax= 0.7725 | BatchCostNZ= 0.4297 | Beta= 3.2266
[train] t= 31000 | LossPi=-464.0965 | PiEntropy=-0.8007 | Alpha= 0.8636 | PiEntTerm= 0.6915 | MinQ= 501.8204 | PiCostTerm= 37.0324 | QcPiCVaR= 11.1404 | QcPi= 8.4617 | QcPiRaw= 8.4614 | QcPiVar= 11.2799 | QcPiM2= 83.8909| BatchCostMean= 0.1388 | BatchCostMax= 0.6635 | BatchCostNZ= 0.4609 | Beta= 3.3241
[train] t= 32000 | LossPi=-466.8704 | PiEntropy=-1.2273 | Alpha= 0.8672 | PiEntTerm= 1.0643 | MinQ= 506.0199 | PiCostTerm= 38.0852 | QcPiCVaR= 11.1300 | QcPi= 8.4164 | QcPiRaw= 8.4160 | QcPiVar= 11.5775 | QcPiM2= 83.4290| BatchCostMean= 0.1353 | BatchCostMax= 0.6901 | BatchCostNZ= 0.4336 | Beta= 3.4218
[train] t= 33000 | LossPi=-469.9867 | PiEntropy=-0.8466 | Alpha= 0.8528 | PiEntTerm= 0.7221 | MinQ= 511.0880 | PiCostTerm= 40.3792 | QcPiCVaR= 11.4717 | QcPi= 8.7159 | QcPiRaw= 8.7157 | QcPiVar= 11.9407 | QcPiM2= 88.8628| BatchCostMean= 0.1562 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4844 | Beta= 3.5199
[train] t= 34000 | LossPi=-467.2494 | PiEntropy=-0.9738 | Alpha= 0.9051 | PiEntTerm= 0.8814 | MinQ= 509.0278 | PiCostTerm= 40.8971 | QcPiCVaR= 11.3034 | QcPi= 8.5538 | QcPiRaw= 8.5535 | QcPiVar= 11.8860 | QcPiM2= 86.0164| BatchCostMean= 0.1437 | BatchCostMax= 0.7410 | BatchCostNZ= 0.4492 | Beta= 3.6181
