Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageQCM2	StdQCM2	MaxQCM2	MinQCM2	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	2291.9624	84.306595	2437.9556	1820.3804	2412189.5	33543.637	2463717.8	2353678.5	5.257916	1.1154833	9.33125	2.4628563	3.9064636	0.50397974	4.7813478	3.1972191	287.0	287.0	0.0	0.0	29433.299	0.04459590731534091	630001.0	406.15796	18.905283	534.83746	224.51053	406.15732	18.175362	505.65433	223.12198	3.5465364	0.107326284	5.0254736	3.1976006	1.1720935	0.14571992	1.48029	0.6520869	13.761539	0.72411335	26.314936	11.53607	0.99993855	0.98863137	7.070529	-11.393182	-133.76613	300.2858	317.28418	0.022511214	0.009616379	0.00025496868	0.30859333	1.3625379	-84.57543	4.116071	61.32388	-0.9999381	0.29186845	338.63458	7135.660259485245
22	2296.2253	73.08355	2460.428	2070.1992	2440270.5	37064.49	2499185.8	2379271.5	5.239873	1.2872336	8.742763	2.1825345	4.317545	0.3338056	4.9735665	3.863593	287.0	287.0	0.0	0.0	29980.152	0.04344949615036232	660001.0	401.9138	19.846937	504.79053	210.55148	401.91278	19.08953	519.4125	240.32501	3.54279	0.109582305	4.8998327	3.2141047	1.172085	0.14588833	1.542444	0.71392417	13.735444	0.75172716	24.968525	11.5533495	1.0005493	1.0000926	9.171297	-11.642586	-116.61647	294.4498	314.7786	0.022436459	0.009553615	-0.0005808877	0.33488855	1.3991758	-88.494064	4.1635027	64.302055	-1.0005486	0.28681183	337.32047	7472.97136592865
23	2282.5945	63.30503	2444.8997	2124.4636	2364102.8	40894.094	2453927.0	2303596.2	4.7042365	1.2076335	8.134405	1.3243668	4.2868395	0.23981117	4.6235294	3.8153858	287.0	287.0	0.0	0.0	30472.018	0.04232224663628472	690001.0	395.5303	18.602488	521.8988	206.80205	395.53018	18.315998	520.9402	203.8985	3.5270743	0.10749451	5.082263	3.249179	1.1554629	0.1456735	1.6867797	0.64568776	13.607271	0.7075834	26.715895	11.833051	0.99986595	0.98119503	9.70266	-12.763679	-98.68521	290.4502	297.66806	0.022125242	0.0093142735	0.00035726783	0.40861523	1.5057822	-91.17333	4.208751	67.277954	-0.9998665	0.2733631	337.2783	7810.271059513092
24	2261.5862	69.529205	2403.5603	2064.494	2094835.0	30991.682	2139383.0	2043484.5	4.526662	1.0315284	6.885498	1.8528986	1.4824572	0.23674259	2.0894432	1.1761861	287.0	287.0	0.0	0.0	30943.955	0.04125860677083333	720001.0	396.03687	18.234226	502.2357	198.94128	396.0341	17.557182	506.6613	206.32664	3.5018177	0.10947497	5.172508	3.2428174	1.1547596	0.14384748	1.5696892	0.7135824	13.429474	0.71248	27.904661	11.831808	1.0000657	0.9682343	4.3241754	-13.617723	-87.982956	286.43356	304.44595	0.02184006	0.009157202	6.522451e-05	0.36826763	1.4458926	-93.39322	4.252034	70.25342	-1.0000663	0.29128575	338.9077	8149.15145611763
25	2261.9146	61.605614	2393.852	2077.3584	2344478.0	33239.605	2410456.5	2301842.2	4.461515	1.1313139	7.7379646	1.8136287	3.562676	0.8980729	5.0563955	2.3228579	287.0	287.0	0.0	0.0	31412.322	0.040272208032852565	750001.0	390.44727	18.103115	496.17627	182.22813	390.4543	17.236425	504.8424	240.54062	3.481501	0.10620562	4.859517	3.2455437	1.1371756	0.1468818	1.7889407	0.6547043	13.269324	0.6859934	24.57643	11.856241	1.0001742	0.9709424	3.1265101	-12.914591	-71.416565	277.2297	293.36087	0.02166088	0.009094323	-9.570521e-05	0.38463685	1.4705222	-95.43998	4.293521	73.22888	-1.0001744	0.31222606	333.8258	8482.987371444702
26	2240.5483	66.4966	2357.702	2034.1917	2395645.5	33765.586	2438329.8	2336589.2	4.2479773	1.0222342	7.430201	2.421544	3.6243908	0.6500572	4.766843	2.1610732	287.0	287.0	0.0	0.0	31855.824	0.03932817804783951	780001.0	387.64264	18.34326	484.616	197.52562	387.6387	17.815882	483.76385	221.96355	3.4673483	0.10425973	4.838087	3.2172294	1.1261089	0.1419623	1.5967109	0.6451167	13.159481	0.6715722	24.440863	11.643842	0.99990314	0.95850813	3.047183	-12.681575	-57.197975	279.8621	291.03275	0.021436531	0.009082938	0.00029333992	0.3834933	1.4683893	-97.955124	4.3333554	76.20435	-0.9999033	0.2932768	338.66553	8821.671404361725
27	2232.247	63.27943	2433.3647	2084.008	2290769.2	30235.752	2341815.0	2250538.0	4.1891384	0.9927228	7.0699944	2.2117493	3.246572	0.5995692	4.255156	2.4354446	287.0	287.0	0.0	0.0	32294.512	0.03844584728422619	810001.0	380.62903	17.218401	488.7447	190.12299	380.63513	16.696882	500.31607	211.84436	3.4649773	0.10465093	4.972164	3.2500746	1.1158954	0.13954228	1.6462538	0.61938524	13.132924	0.67334896	25.774115	11.828658	0.9998299	0.95844465	3.0268764	-12.717554	-37.83842	267.96878	281.23752	0.021442961	0.009096661	0.00038214264	0.36285818	1.4387102	-101.36282	4.3716626	79.1798	-0.99983007	0.32221866	337.82477	9159.484291315079
28	2219.9858	65.19135	2378.1587	2021.758	2342943.5	48676.785	2403952.0	2247802.5	3.7979593	0.9209412	5.81422	1.9140105	2.5653937	0.44610018	3.2777746	1.8466088	287.0	287.0	0.0	0.0	32691.188	0.037576077586206895	840001.0	378.22006	16.385624	462.36542	286.36526	378.2331	16.194382	486.7705	212.6651	3.4494538	0.102281176	4.7353616	3.1995573	1.1003225	0.13649565	1.5874891	0.68529594	13.009525	0.65712386	23.321474	11.50413	1.0000471	0.95604616	3.2480576	-12.541508	-24.418684	264.5273	267.1179	0.021286737	0.00909254	5.205819e-05	0.3921897	1.4816939	-103.42845	4.4085565	82.15527	-1.0000474	0.2872064	337.97604	9497.46708536148
29	2233.5361	65.52417	2390.468	2077.187	2186463.0	45378.3	2270797.5	2111331.8	3.9567113	0.9687642	6.2520313	1.9043016	2.0396132	0.31494135	2.5319345	1.5617695	287.0	287.0	0.0	0.0	33104.03	0.036782256944444446	870001.0	381.87906	17.767786	478.48087	290.8789	381.88684	17.791466	496.3131	236.95407	3.4527647	0.10014227	4.817976	3.2360349	1.0966792	0.13584398	1.4481854	0.68980694	13.02829	0.64200413	24.134455	11.728458	1.0003643	0.96884006	3.5957036	-14.140401	-15.18396	270.26297	268.96182	0.020918166	0.009038863	-0.00043323849	0.43397486	1.5445493	-107.44331	4.444137	85.13073	-1.0003641	0.2872455	336.21164	9833.671742916107
30	2183.474	73.48845	2348.4656	2004.4141	2263164.0	50683.402	2322110.8	2178754.2	3.303586	0.879344	5.604867	1.688155	2.4913483	0.49125376	3.2433987	1.9026675	287.0	287.0	0.0	0.0	33449.734	0.0359674563172043	900001.0	378.18488	16.546717	483.74396	273.19885	378.18323	16.705818	484.12006	214.99033	3.416846	0.10288612	4.777972	3.2049298	1.0825968	0.1359652	1.4703895	0.7105717	12.768025	0.64824736	23.713509	11.478049	0.99991876	0.9695031	2.940292	-12.731771	-2.3916209	266.10086	264.1497	0.020699967	0.008843073	0.0002740171	0.42631626	1.5329998	-107.45684	4.478495	88.1062	-0.99991864	0.29842734	339.11105	10172.789625883102
31	2193.6946	66.67975	2363.925	1976.8215	2326326.0	27324.37	2372220.8	2287239.5	3.2436523	0.83506924	5.6783395	1.4089009	3.206707	0.3019971	3.6198428	2.5743852	287.0	287.0	0.0	0.0	33788.605	0.035196464029947916	930001.0	377.57446	18.03465	470.43475	228.33669	377.57593	17.519777	477.695	225.11487	3.4138515	0.1022184	4.7334	3.1426485	1.0707685	0.13576497	1.40865	0.65809155	12.73561	0.6460925	23.453344	11.156877	0.9998055	0.96464765	3.0848508	-13.779143	10.15637	256.7644	271.66724	0.020606678	0.008838186	0.00043941557	0.41721067	1.5188667	-110.45662	4.511712	91.081665	-0.9998054	0.2918036	336.99893	10509.777732849121
32	2199.5513	56.821613	2324.8906	2059.8704	2241583.5	52118.94	2333112.2	2171601.2	3.4341002	0.7966963	5.422297	1.7199175	2.723531	0.4871746	3.4101205	1.7122562	287.0	287.0	0.0	0.0	34147.113	0.03449203361742424	960001.0	370.9936	18.193895	457.11526	218.77852	370.99634	18.306936	456.85776	267.39383	3.4142509	0.09846232	4.7396884	3.195144	1.067454	0.1367701	1.3133814	0.61635643	12.734255	0.6239136	23.429737	11.407462	1.0005068	0.98725945	3.7181687	-12.169737	29.161367	260.978	255.4921	0.020533426	0.008836872	-0.00065446727	0.45561913	1.5784354	-114.130615	4.543861	94.05712	-1.0005069	0.27850986	335.0698	10844.852333784103
33	2172.5154	58.70925	2299.3916	2014.455	2249658.5	37072.23	2324905.2	2194667.8	3.169964	0.7810585	5.0150685	1.309296	2.3977954	0.36232212	3.1161036	1.7883009	287.0	287.0	0.0	0.0	34478.414	0.03380236672794118	990001.0	372.4456	18.090925	467.94067	305.30515	372.44366	18.09081	477.61432	259.72528	3.4045076	0.097688824	4.704155	3.195509	1.0555397	0.13683154	1.3427132	0.6532546	12.655753	0.6153427	22.932297	11.41544	0.99982715	0.99765694	3.2149348	-12.013631	38.916817	259.3191	262.48743	0.02052695	0.008858697	0.00042968127	0.45170566	1.5726973	-116.32797	4.575008	97.03259	-0.9998276	0.28249884	335.41974	11180.273454666138
34	2145.1824	65.52005	2306.7388	1975.2299	2193559.5	32137.926	2248427.0	2144561.8	2.985419	0.76755095	5.251646	1.5261856	2.5568614	0.4397856	3.2816107	2.0004718	287.0	287.0	0.0	0.0	34790.926	0.0331342150297619	1020001.0	360.90033	17.77312	454.6347	277.42126	360.89957	17.89211	449.82675	281.66016	3.37365	0.09964012	4.741307	3.158748	1.055555	0.13388492	1.3751745	0.6576584	12.446987	0.61213154	23.242447	11.199617	1.0003825	0.98606277	3.2753496	-11.961138	59.933258	247.51035	243.74979	0.02014277	0.0086236	-0.0004538747	0.46926677	1.6010253	-116.81582	4.605214	100.00806	-1.0003828	0.3161826	334.24158	11514.516648292542
35	2144.2517	55.800247	2274.9363	2027.1154	2287385.8	59065.367	2390891.0	2209751.2	2.8126385	0.71820647	4.600033	0.8310881	2.501877	0.2791354	2.8870854	1.951584	287.0	287.0	0.0	0.0	35084.625	0.03248576388888889	1050001.0	368.21463	18.449667	461.97733	247.75797	368.2137	18.345877	455.91818	284.92816	3.3753054	0.09025725	4.585584	3.1470425	1.0460887	0.13464908	1.3864192	0.66194797	12.446893	0.5459229	21.977623	11.143517	0.9993765	0.969779	3.20159	-11.491227	65.07342	253.3133	255.6731	0.02011975	0.008641994	0.0011071066	0.4261274	1.533607	-120.46507	4.634534	102.98351	-0.99937695	0.2906046	336.7682	11851.280092477798
