[train] t= 67100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0115 | QcPi= 0.0115 | QcPiVar=0.0000| BatchCostMean= 0.0115 | BatchCostMax= 0.8518 | BatchCostNZ= 0.0840| WinRewMean= 4953.5118 | WinCostMean= 0.0115
[train] t= 68100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0205 | QcPi= 0.0205 | QcPiVar=0.0000| BatchCostMean= 0.0205 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1260| WinRewMean= 3989.8068 | WinCostMean= 0.0205
[train] t= 69100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0219 | QcPi= 0.0219 | QcPiVar=0.0000| BatchCostMean= 0.0219 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1510| WinRewMean= 4474.8404 | WinCostMean= 0.0219
[train] t= 70100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0116 | QcPi= 0.0116 | QcPiVar=0.0000| BatchCostMean= 0.0116 | BatchCostMax= 1.0000 | BatchCostNZ= 0.0750| WinRewMean= 3570.1110 | WinCostMean= 0.0116
[train] t= 71100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0148 | QcPi= 0.0148 | QcPiVar=0.0000| BatchCostMean= 0.0148 | BatchCostMax= 0.7699 | BatchCostNZ= 0.1080| WinRewMean= 4106.0918 | WinCostMean= 0.0148
[train] t= 72100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0177 | QcPi= 0.0177 | QcPiVar=0.0000| BatchCostMean= 0.0177 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1160| WinRewMean= 3478.3715 | WinCostMean= 0.0177
[train] t= 73100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0153 | QcPi= 0.0153 | QcPiVar=0.0000| BatchCostMean= 0.0153 | BatchCostMax= 0.7307 | BatchCostNZ= 0.1000| WinRewMean= 4163.0345 | WinCostMean= 0.0153
[train] t= 74100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0149 | QcPi= 0.0149 | QcPiVar=0.0000| BatchCostMean= 0.0149 | BatchCostMax= 1.0000 | BatchCostNZ= 0.0820| WinRewMean= 3563.3133 | WinCostMean= 0.0149
[train] t= 75100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0192 | QcPi= 0.0192 | QcPiVar=0.0000| BatchCostMean= 0.0192 | BatchCostMax= 0.6616 | BatchCostNZ= 0.1200| WinRewMean= 4238.4922 | WinCostMean= 0.0192
[train] t= 76100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0222 | QcPi= 0.0222 | QcPiVar=0.0000| BatchCostMean= 0.0222 | BatchCostMax= 0.7732 | BatchCostNZ= 0.1430| WinRewMean= 4416.5455 | WinCostMean= 0.0222
