Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	QcPi	QcPiRaw	QcPiVar	QcPiCVaR	PiEntTerm	PiQTerm	PiCostTerm	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	1721.2413	530.2095	2524.382	47.759373	1733673.8	530353.9	2697089.2	967809.3	8.595763	1.7347901	13.719349	2.7130904	6.0657206	1.1787301	8.282949	4.3857093	288.0	288.0	0.0	0.0	29123.336	0.0441262665719697	630001.0	453.41934	180.46034	830.6516	-17.64786	453.41653	180.46907	827.76447	-17.132597	4.285022	0.20304842	5.6091437	3.2203493	0.31181893	0.095023185	0.7516739	0.1865228	1.0001047	1.0194173	7.6778655	-11.743302	-356.1306	88.965485	88.81289	0.003345383	0.00013829258	2.7947568e-05	-0.077896096	0.92549837	4.2677803	4.2533865	0.3114897	4.7086368	0.9254705	452.82614	95.77011	0.058419358	3.012449	20.341179	-1.0001043	0.3243351	145.48053	3302.5374660491943
22	1614.9108	605.1416	2590.9268	34.74859	1713293.8	585794.8	2568635.0	648746.94	8.740418	1.7398713	12.439665	2.647368	5.5825806	1.5028481	8.347779	3.76121	288.0	288.0	0.0	0.0	30032.95	0.043526013360507244	660001.0	455.5343	180.09035	836.00995	-13.98409	455.53152	180.09691	831.71344	-14.13148	4.301843	0.19735602	5.628111	3.1907725	0.31225473	0.09298685	0.71115595	0.1911784	1.0000963	1.0249674	8.246332	-11.144312	-358.865	89.08363	88.931	0.0033224297	0.00013619293	2.682314e-05	-0.08086511	0.9228242	4.2855353	4.271412	0.31193995	4.72691	0.9227974	454.94965	95.16183	0.028902018	3.0021675	20.131762	-1.0000958	0.3268118	150.64484	3453.2729964256287
23	1523.3583	655.8837	2609.776	32.662933	1796047.8	733621.2	2477399.8	277426.84	8.359118	2.145508	13.426245	1.6331685	7.1185274	1.868773	8.598267	2.523173	288.0	288.0	0.0	0.0	30902.584	0.04292025553385417	690001.0	454.39886	180.90106	837.88184	-12.910714	454.3961	180.9105	831.30426	-13.417319	4.3151917	0.20219204	5.6555095	3.1668859	0.3154247	0.09593577	0.7353403	0.1936833	1.0002351	1.0191836	6.7671185	-12.264694	-357.23434	89.7505	89.564476	0.0033740466	0.0001441006	-8.399269e-05	-0.067523874	0.93517905	4.299576	4.2856317	0.31512085	4.743021	0.93526304	453.81235	95.642715	-0.040795393	3.0039043	20.165064	-1.0002348	0.3111167	155.02455	3608.2587990760803
24	1640.3417	660.30585	2572.3826	43.950817	1438832.0	624313.9	2582806.8	582690.2	8.079563	2.2849028	13.262565	2.1594183	4.9433737	1.561167	8.065395	2.6241908	288.0	288.0	0.0	0.0	31745.486	0.042327315104166666	720001.0	451.84103	181.90938	837.5123	-12.701968	451.83865	181.91669	829.06616	-14.651575	4.276683	0.20052242	5.5864587	3.1752079	0.31021732	0.099108145	0.7405204	0.18750261	0.9997741	1.017868	7.1251917	-11.99256	-353.58554	90.62138	90.419266	0.003298243	0.00014457338	0.0003551499	-0.060230542	0.9420555	4.260827	4.246339	0.30987817	4.700189	0.9417004	451.24033	96.71312	0.018003425	3.0240564	20.576248	-0.9997744	0.31990933	153.55208	3761.822939157486
25	1593.4246	588.35785	2594.3906	19.800598	1515631.2	729873.94	2650848.8	0.0	8.252657	1.8794045	13.155186	0.45825028	5.4714975	2.2456462	8.375241	0.0	288.0	288.0	0.0	0.0	32605.102	0.04180141225961539	750001.0	453.42297	182.4748	837.5835	-13.200039	453.42197	182.47862	826.3675	-13.9293	4.289729	0.20141427	5.7195873	3.1326385	0.3076661	0.099358305	0.75368196	0.19099028	1.0001566	1.0186834	6.86065	-13.0683365	-356.82904	90.91439	90.699776	0.003255994	0.00014351605	-4.894972e-06	-0.07246094	0.93047893	4.274891	4.260599	0.3073617	4.71237	0.9304838	452.85275	95.093216	0.027908633	3.0045798	20.179522	-1.0001563	0.3155043	156.06865	3917.7571408748627
26	1675.625	540.154	2511.9443	67.31796	1646126.5	673886.9	2495591.8	0.0	8.631217	1.688767	14.03222	4.402979	5.14799	2.4063342	7.622198	0.0	288.0	288.0	0.0	0.0	33503.246	0.04136203221450617	780001.0	455.22858	182.72183	836.0599	-12.734442	455.22647	182.72784	825.9873	-14.723314	4.2914243	0.2006004	5.65567	3.3031504	0.3089371	0.10297704	0.77572024	0.18552601	1.0001521	1.0284677	4.954421	-11.695103	-359.8809	90.96282	90.768684	0.0033028189	0.00014686478	6.7537467e-06	-0.09111314	0.91350085	4.2770734	4.26282	0.30864266	4.715126	0.91349417	454.66574	93.871284	-0.07170422	2.9909294	19.909143	-1.0001522	0.3211987	156.73494	4074.486773252487
27	1655.1052	548.66016	2532.6995	45.788754	1808957.4	764951.2	2636192.5	0.0	8.144475	2.0329862	13.166386	3.5944278	6.2232456	2.396153	9.521466	0.0	288.0	288.0	0.0	0.0	34353.09	0.04089653552827381	810001.0	455.08926	181.7005	836.7543	-14.530974	455.08746	181.70624	825.9969	-16.783667	4.261797	0.19441463	5.6006293	3.2173204	0.30533743	0.0970808	0.74803126	0.18075812	0.9999289	1.030837	6.1129913	-13.543624	-359.71545	90.808235	90.60474	0.003260505	0.00014257137	0.00019103543	-0.08875067	0.91549486	4.2475786	4.2329106	0.30501583	4.6834116	0.9153038	454.53806	93.907265	0.07938867	2.9980152	20.052961	-0.99992937	0.32358432	154.99832	4229.612739086151
28	1496.686	626.3056	2570.3213	31.86094	1442994.0	867796.94	2451086.2	188516.06	8.422699	2.0642626	13.236319	2.4775348	6.1421194	2.4930382	10.21085	2.5666919	288.0	288.0	0.0	0.0	35233.355	0.0404981097341954	840001.0	456.18536	181.88503	838.8371	-11.642117	456.18393	181.89085	827.2232	-12.975349	4.3186865	0.19574566	5.6204104	3.1440241	0.3113359	0.093666166	0.71993923	0.18931894	1.0000644	1.022746	5.4899435	-11.581132	-362.4345	90.88206	90.6852	0.0032762883	0.00013934735	7.802681e-05	-0.09064168	0.9138662	4.3062243	4.2923856	0.3110916	4.746846	0.91378826	455.68488	92.33662	-0.008336749	2.9679432	19.452297	-1.0000645	0.32000303	154.91559	4384.545162677765
29	1526.7902	677.25793	2534.5881	35.532032	1246791.4	607146.8	2111605.0	245333.52	7.963504	2.0359216	12.771012	1.9950278	4.271331	1.599635	7.2746925	1.3186643	288.0	288.0	0.0	0.0	36060.895	0.040067660590277776	870001.0	454.9737	181.86995	837.3375	-12.7777815	454.97205	181.87515	830.1584	-14.139243	4.297145	0.19926032	5.6136637	3.0260615	0.31033227	0.09820213	0.72490937	0.18446898	1.0001025	1.0327088	6.610519	-12.243275	-358.77902	90.481995	90.305336	0.0033114024	0.00014718356	3.944323e-05	-0.09628973	0.9086549	4.283894	4.2697377	0.31002438	4.723345	0.90861547	454.45868	94.771034	-0.054916397	2.998885	20.065641	-1.0001024	0.30482817	159.74883	4544.27769112587
30	1444.5723	627.3828	2509.0947	29.33511	1246419.0	758979.75	2513849.5	0.0	7.9095755	1.8553338	14.079488	2.0587296	5.2582426	2.997542	8.982322	0.0	288.0	288.0	0.0	0.0	36883.027	0.03965916918682796	900001.0	451.2349	182.31717	835.4061	-11.820977	451.2335	182.32195	829.5237	-12.117055	4.242359	0.19704789	5.6063886	3.3228936	0.30764967	0.09960877	0.72719926	0.18327618	0.9999362	1.0280087	5.125722	-10.6446705	-354.62003	90.496864	90.30403	0.003263593	0.00014811684	0.0001732452	-0.10025093	0.9051067	4.2288632	4.2139115	0.3073042	4.6661587	0.9049335	450.71887	95.19388	0.058322273	3.0154545	20.400845	-0.9999361	0.30099535	159.8728	4704.14341378212
