Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	1992.4784	280.83765	2863.2302	1692.7994	2225950.8	208609.11	2602065.2	1933303.1	14.38292	1.6960499	17.776777	9.171078	13.117642	1.432976	16.289764	11.7134	288.0	288.0	0.0	0.0	31389.09	0.04755922703598485	630001.0	567.66064	56.191044	854.39624	465.07126	567.65955	56.207184	851.0342	468.03693	5.4251866	0.22202016	6.490489	4.0773034	0.40578318	0.05972346	0.869264	0.2979057	1.0001268	1.0282103	3.635778	-11.428315	-436.89856	75.68318	75.419525	0.0043406314	0.00022156275	-9.323144e-06	0.14281733	1.1539638	-0.03568988	3.079859	21.7581	-1.0001268	0.30034065	140.50844	2948.1628918647766
22	2068.5823	378.32187	2910.9502	1654.2755	2125172.0	291913.2	2926931.8	1857847.0	14.181072	1.8124799	19.775652	10.57092	12.38987	1.133659	14.050767	10.129191	288.0	288.0	0.0	0.0	32868.117	0.047634952445652176	660001.0	567.91156	56.452057	854.6661	467.51694	567.9111	56.46848	852.42316	467.32422	5.412918	0.22422388	6.3884287	4.0698667	0.4054771	0.05992397	0.85894257	0.34646773	1.0001434	1.0385567	4.679497	-12.698262	-439.11783	76.39494	76.15344	0.0043823672	0.0002307768	-3.0913878e-05	0.12691125	1.1357061	0.030913586	3.0667982	21.473877	-1.0001438	0.30498576	140.41296	3088.5646181106567
23	2072.187	359.29675	2916.7153	1709.0812	2162290.2	406862.84	2980752.5	1840887.0	14.289998	1.997615	20.635647	8.848565	13.30701	1.46491	14.757168	9.663698	288.0	288.0	0.0	0.0	34351.977	0.04771107855902778	690001.0	567.3206	56.368267	851.1907	466.2104	567.3198	56.38167	851.2298	467.0305	5.4252143	0.2258107	6.4218493	4.0736265	0.41045204	0.061158173	0.8655765	0.35170776	0.9998774	1.0438696	5.279005	-12.935806	-437.17728	76.16223	75.9511	0.0044252835	0.00023196176	0.00028053598	0.13521196	1.1452063	-0.04299306	3.0746224	21.64302	-0.999878	0.27345276	140.55693	3229.131417274475
24	2077.4602	373.11157	2914.0056	1656.0784	2176832.2	358820.5	2941840.5	1888224.0	14.091798	1.8481231	18.8553	9.190381	13.374776	1.3794475	16.744362	11.500611	288.0	288.0	0.0	0.0	35823.152	0.047764203125	720001.0	567.45746	56.82714	852.9954	468.57303	567.457	56.84298	850.839	467.2416	5.4133415	0.22633578	6.422468	4.028388	0.4071289	0.063109934	1.2616762	0.35101485	0.9998088	1.037169	4.1142406	-12.639459	-436.9182	76.57222	76.29252	0.0043832124	0.00023047253	0.00036024596	0.13440718	1.1443464	0.03482334	3.0800338	21.76132	-0.9998094	0.30207586	140.72194	3369.8647525310516
25	2060.7979	382.14166	2931.0032	1646.7727	1944247.2	137629.1	2204742.8	1787368.9	14.266754	1.9255962	18.491386	9.297093	13.050977	2.3582196	16.891785	8.921631	288.0	288.0	0.0	0.0	37309.855	0.04783314803685897	750001.0	567.4176	56.836758	853.16943	464.47235	567.41595	56.855003	855.95667	466.31418	5.4271474	0.22658923	6.4668255	4.0703807	0.40730545	0.06358922	0.8576432	0.34199196	1.0002509	1.043128	5.246469	-12.338612	-435.93878	76.22481	75.906456	0.0043946863	0.0002302832	-0.00015724244	0.14137566	1.1523254	-0.031893756	3.0848615	21.866167	-1.0002512	0.29221678	140.23172	3510.100281238556
26	2136.251	383.16885	2891.5862	1732.4435	2106158.8	277185.03	2888373.5	1868069.1	14.153971	2.1470482	18.7354	8.816457	15.834612	1.6380996	18.263033	13.701271	288.0	288.0	0.0	0.0	38783.89	0.047881346450617285	780001.0	565.7653	56.512234	850.834	466.3733	565.76404	56.525326	848.4968	465.9491	5.414493	0.22721083	6.4752836	4.063053	0.4085999	0.06341764	0.8239076	0.32099158	1.0000929	1.0450811	5.482454	-12.233854	-435.78073	75.83981	75.59166	0.00442652	0.00023818167	3.2880005e-05	0.14330395	1.1545706	0.023146413	3.0752962	21.65733	-1.0000926	0.29294372	140.23885	3650.330531835556
27	2078.0923	337.26093	2884.589	1681.5392	2192306.8	291425.75	3015786.8	1937684.4	14.253328	1.9136938	19.867165	9.495913	13.824255	1.6183857	16.17505	10.331287	288.0	288.0	0.0	0.0	40269.867	0.04794031808035714	810001.0	566.03876	57.34393	851.7719	466.8143	566.0375	57.360355	850.3493	465.63208	5.41966	0.22671993	6.4556537	4.0930853	0.40916216	0.06040079	0.7906892	0.36614484	0.99995935	1.032949	6.3554606	-13.077581	-436.16394	76.737526	76.501656	0.004350976	0.00022936032	0.00018257603	0.14533922	1.1569889	0.004311925	3.0734687	21.617332	-0.9999598	0.29876447	140.22466	3790.5573914051056
28	2058.781	350.58176	2881.7825	1721.9923	2334702.8	464709.5	3060880.8	1838082.6	14.38986	2.0136287	21.44036	9.921999	14.887715	1.2305524	17.229084	13.160828	288.0	288.0	0.0	0.0	41767.734	0.048008890086206894	840001.0	566.15045	56.814545	852.38745	465.65735	566.15015	56.82936	851.028	464.74588	5.4220033	0.22614655	6.491821	4.0259337	0.40774038	0.058085017	0.79748344	0.33370602	0.9999435	1.0361118	4.1195264	-12.295017	-434.8113	75.8835	75.63535	0.004350212	0.00022754411	0.00020667535	0.15204865	1.1645598	-0.008241093	3.0845156	21.857597	-0.99994415	0.31510615	140.30182	3930.856760263443
29	2062.6082	354.25397	2959.1365	1730.4978	2145859.2	329393.06	3063114.5	1877625.9	14.184768	2.098993	18.107038	8.886335	14.962503	1.6145264	17.179832	12.470488	288.0	288.0	0.0	0.0	43245.992	0.048051102430555555	870001.0	566.12476	56.776867	852.7973	462.0708	566.1237	56.789467	851.31555	465.5654	5.4196057	0.22090968	6.549071	4.11921	0.40749606	0.061459664	0.9569421	0.35053405	0.9998217	1.0372118	3.8510528	-13.826294	-436.40033	76.621605	76.36897	0.004313297	0.00022217396	0.000336542	0.13803764	1.1484234	-0.0057159234	3.0725203	21.597044	-0.9998216	0.3044603	140.12831	4070.9959149360657
30	2115.1523	367.99347	2916.576	1710.5411	2197669.0	422705.62	3108181.2	1837487.8	14.622502	1.9674569	19.68073	9.73477	13.084355	1.581258	15.509253	10.654579	288.0	288.0	0.0	0.0	44768.375	0.048138037634408604	900001.0	566.6077	56.76365	853.7101	463.0633	566.6064	56.77826	850.83923	465.65775	5.421062	0.22242522	6.5858955	4.0880895	0.40612745	0.05722476	0.9002534	0.3434382	1.000386	1.036814	3.269561	-12.953969	-436.7348	76.51978	76.233665	0.004335888	0.00022761722	-0.0003003362	0.12925954	1.1385232	-0.00095096364	3.0736496	21.620996	-1.000387	0.32609153	140.33571	4211.313305854797
31	2008.1113	296.47955	2902.1104	1713.4789	2303902.5	465241.72	3087012.2	1845581.2	14.200825	2.0860546	18.805838	7.968098	11.8540745	1.092333	13.047823	9.306485	288.0	288.0	0.0	0.0	46246.703	0.048173649088541666	930001.0	566.4573	57.154533	853.0871	463.13995	566.4559	57.172188	852.6772	465.78583	5.4358525	0.22115514	6.494809	4.1055036	0.4049123	0.04848601	0.7151848	0.35443974	0.9996501	1.0286427	3.4622471	-13.090346	-435.14575	76.694725	76.39947	0.0042876108	0.00022441256	0.00052591617	0.14672272	1.1586297	-0.07733157	3.0820775	21.806633	-0.99965054	0.28781223	139.9199	4351.237923145294
32	2072.6265	351.60257	2917.4417	1650.6874	2309795.8	455312.44	3108326.2	1847442.1	14.479943	1.8795217	19.413675	9.802415	12.640875	2.1758142	15.574553	8.282763	288.0	288.0	0.0	0.0	47756.92	0.04823931502525253	960001.0	565.3547	57.218834	855.49896	462.1349	565.3539	57.23472	856.83795	462.0189	5.410182	0.21989778	6.5933776	4.1142445	0.40459266	0.05093624	0.78868234	0.35621464	1.0003004	1.0331801	3.758329	-10.852018	-435.3658	76.80354	76.51349	0.004295753	0.00021286675	-0.0002030039	0.13870628	1.1493074	0.05196834	3.0763345	21.681137	-1.000301	0.32383728	139.88707	4491.1153066158295
33	2078.4146	336.96097	2842.446	1709.6532	2310835.5	458529.0	3115418.0	1886518.1	14.38053	2.1345415	19.586584	9.640291	13.452799	2.167292	16.76813	9.256741	288.0	288.0	0.0	0.0	49256.41	0.04829059819240196	990001.0	566.4084	56.883526	858.7339	462.01437	566.4076	56.89797	854.9876	465.2018	5.4287457	0.22129223	6.5430284	4.0846705	0.41041172	0.05150347	0.8391493	0.36227724	1.0002431	1.0319173	3.1461287	-14.515729	-434.92886	75.66013	75.38879	0.00431408	0.00021072784	-0.00015320684	0.14118193	1.152068	-0.059154212	3.084086	21.849566	-1.000243	0.2950306	140.09778	4631.217191696167
34	2060.3857	325.90436	2906.768	1694.1819	2243953.5	458094.0	3059871.2	1871181.4	14.423639	2.3050218	19.713848	9.16175	13.552763	1.4302366	16.07222	12.023196	288.0	288.0	0.0	0.0	50759.594	0.048342470238095236	1020001.0	564.26544	56.348682	852.6949	460.0086	564.265	56.362965	853.27057	463.0691	5.407696	0.21728164	6.555567	4.1139126	0.40475658	0.05090467	0.81909394	0.29057312	0.99966884	1.0281821	3.600194	-11.036393	-432.80066	74.82057	74.52623	0.004273031	0.00020316851	0.0005283054	0.1538323	1.1667591	0.049007032	3.088064	21.935947	-0.9996692	0.26897645	139.67621	4770.901640415192
35	2051.624	333.40115	2886.5322	1662.5144	2187764.5	325973.6	2929395.8	1900725.2	14.32624	1.9211086	18.804844	8.468469	15.741061	1.602743	17.454033	12.587284	288.0	288.0	0.0	0.0	52249.938	0.048379571759259256	1050001.0	563.767	57.021935	851.53516	460.8182	563.7657	57.03612	849.9468	462.3366	5.4186854	0.21942112	6.5598803	4.110904	0.40757674	0.051529754	0.79868937	0.360419	1.0000603	1.0299795	4.2751675	-10.794943	-432.89374	75.80255	75.538666	0.0043103453	0.00021045133	6.502115e-05	0.15242453	1.1651057	-0.0094335545	3.081267	21.78701	-1.0000606	0.30155373	139.75401	4910.664325714111
36	2014.9187	316.05804	2898.3503	1688.6381	2239755.5	332204.75	2999905.2	1906532.6	14.499353	1.7431381	17.852701	9.771242	13.391849	1.3403965	15.402746	10.996833	288.0	288.0	0.0	0.0	53759.17	0.04843168637387387	1080001.0	563.94086	57.179817	852.65955	463.25946	563.93976	57.192524	850.2729	463.38406	5.4227023	0.22006206	6.523696	4.088491	0.4082572	0.05119391	0.88694054	0.36571833	1.0000616	1.0339229	3.366485	-10.731016	-433.89847	76.670685	76.38988	0.0043180413	0.00021363555	5.6556542e-05	0.1434332	1.1547606	-0.020021195	3.0741315	21.632202	-1.0000619	0.29118562	139.63747	5050.305126428604
37	2034.3585	310.1668	2849.8105	1593.8232	2312083.8	375940.3	3069877.8	1909190.6	14.301708	1.9043458	17.783089	9.268832	14.985553	1.6436836	17.239273	12.790886	288.0	288.0	0.0	0.0	55249.086	0.048464110471491226	1110001.0	563.1343	56.840218	850.3707	461.81265	563.13336	56.85415	848.34247	463.8413	5.411884	0.22204699	6.5380588	4.115805	0.4105002	0.050043836	0.82195884	0.3144027	0.99980855	1.0359846	6.9093056	-10.891773	-434.58987	75.45147	75.21962	0.0043473593	0.0002164605	0.0003505769	0.14004268	1.1507341	0.024994	3.0639734	21.413809	-0.9998087	0.29046845	139.56808	5189.858302354813
38	2078.6453	370.1457	2919.26	1720.6582	2067694.4	348447.9	3066162.5	1858053.8	14.113746	1.9831021	18.6327	9.44501	14.136215	1.230467	15.592839	12.025244	288.0	288.0	0.0	0.0	56720.395	0.04847896968482906	1140001.0	562.2351	57.300262	850.57306	461.78525	562.2348	57.31297	851.8724	463.48746	5.4124684	0.22150323	6.473398	4.109016	0.41014948	0.051248886	0.8540016	0.36543074	1.0003219	1.0395187	4.3870897	-10.949694	-433.55017	76.040825	75.77676	0.00433817	0.00021428493	-0.00023751862	0.15030462	1.1626241	0.02113538	3.064912	21.434021	-1.0003221	0.29598808	139.58177	5329.444894790649
