[train] t= 36000 | LossPi=-748.3475 | PiEntropy=-1.1279 | Alpha= 1.0710 | PiEntTerm= 1.2079 | MinQ= 750.8981 | PiCostTerm= 1.3426 | QcPiCVaR= 7.9732 | QcPi= 7.7597 | QcPiVar= 0.0716 | Beta= 0.1684
[train] t= 37000 | LossPi=-756.2673 | PiEntropy=-1.0613 | Alpha= 1.0422 | PiEntTerm= 1.1060 | MinQ= 758.9307 | PiCostTerm= 1.5574 | QcPiCVaR= 8.1188 | QcPi= 7.9166 | QcPiVar= 0.0642 | Beta= 0.1918
[train] t= 38000 | LossPi=-766.6360 | PiEntropy=-1.1453 | Alpha= 1.0530 | PiEntTerm= 1.2060 | MinQ= 769.6161 | PiCostTerm= 1.7741 | QcPiCVaR= 8.1257 | QcPi= 7.9314 | QcPiVar= 0.0593 | Beta= 0.2183
[train] t= 39000 | LossPi=-768.4739 | PiEntropy=-0.7238 | Alpha= 1.0950 | PiEntTerm= 0.7926 | MinQ= 771.3021 | PiCostTerm= 2.0356 | QcPiCVaR= 8.2536 | QcPi= 8.0706 | QcPiVar= 0.0526 | Beta= 0.2466
[train] t= 40000 | LossPi=-776.3282 | PiEntropy=-0.9738 | Alpha= 1.0539 | PiEntTerm= 1.0263 | MinQ= 779.6439 | PiCostTerm= 2.2893 | QcPiCVaR= 8.2556 | QcPi= 8.0783 | QcPiVar= 0.0494 | Beta= 0.2773
[train] t= 41000 | LossPi=-787.4136 | PiEntropy=-1.0667 | Alpha= 1.0336 | PiEntTerm= 1.1025 | MinQ= 791.1057 | PiCostTerm= 2.5895 | QcPiCVaR= 8.3630 | QcPi= 8.1964 | QcPiVar= 0.0436 | Beta= 0.3096
[train] t= 42000 | LossPi=-793.7822 | PiEntropy=-1.1363 | Alpha= 1.0591 | PiEntTerm= 1.2034 | MinQ= 797.8591 | PiCostTerm= 2.8734 | QcPiCVaR= 8.3477 | QcPi= 8.1895 | QcPiVar= 0.0393 | Beta= 0.3442
[train] t= 43000 | LossPi=-798.8849 | PiEntropy=-0.9762 | Alpha= 1.0688 | PiEntTerm= 1.0433 | MinQ= 803.1099 | PiCostTerm= 3.1816 | QcPiCVaR= 8.3499 | QcPi= 8.2000 | QcPiVar= 0.0353 | Beta= 0.3810
[train] t= 44000 | LossPi=-804.2324 | PiEntropy=-1.0638 | Alpha= 1.0646 | PiEntTerm= 1.1325 | MinQ= 808.9111 | PiCostTerm= 3.5462 | QcPiCVaR= 8.4429 | QcPi= 8.3003 | QcPiVar= 0.0319 | Beta= 0.4200
[train] t= 45000 | LossPi=-807.8987 | PiEntropy=-1.1026 | Alpha= 1.0663 | PiEntTerm= 1.1756 | MinQ= 812.9622 | PiCostTerm= 3.8879 | QcPiCVaR= 8.4237 | QcPi= 8.2870 | QcPiVar= 0.0294 | Beta= 0.4615
[train] t= 46000 | LossPi=-812.4860 | PiEntropy=-1.0402 | Alpha= 1.0702 | PiEntTerm= 1.1133 | MinQ= 817.9224 | PiCostTerm= 4.3231 | QcPiCVaR= 8.5554 | QcPi= 8.4269 | QcPiVar= 0.0259 | Beta= 0.5053
[train] t= 47000 | LossPi=-816.9303 | PiEntropy=-0.9642 | Alpha= 1.0688 | PiEntTerm= 1.0305 | MinQ= 822.6959 | PiCostTerm= 4.7350 | QcPiCVaR= 8.5784 | QcPi= 8.4561 | QcPiVar= 0.0235 | Beta= 0.5520
[train] t= 48000 | LossPi=-823.2403 | PiEntropy=-0.8595 | Alpha= 1.0847 | PiEntTerm= 0.9323 | MinQ= 829.3485 | PiCostTerm= 5.1759 | QcPiCVaR= 8.6070 | QcPi= 8.4905 | QcPiVar= 0.0213 | Beta= 0.6014
